global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	cosine03	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24
4396.058061254644	n/a	19325326.477921937	n/a	5295.280655570652	n/a	28039997.221260756	n/a	4654.94129893544	n/a	n/a	21668478.49653476	4698.990795735132	3662.002067802576	n/a	n/a	n/a	n/a	-0.0270839807	-0.0064297018	0.0960876049	0.0662568264	-0.04195874	0.0304700543	0.0136838938	0.1318411078	0.0106167181	0.0730821787	0.1248567567	-0.0584664481	0.155763817	-0.0129787312	0.0496440841	-0.0098734496	0.0567834366	0.0706198244	-0.1631879043	0.0588263743	-0.0716422457	0.0732446185	-0.1911184231	0.0349890213	-0.1247222817	0.0833825239	-0.0246871048	-0.0020041045	0.1139001505	-0.1892786056	0.0325227754	-0.053825707	0.018358996	-0.0623631948	-0.0563600312	-0.048677509	0.0678338162	-0.1378567016	0.0054518334	-0.1207112415	0.0627258996	-0.0271294254	0.1031394063	-0.0216868672	-0.0107145841	0.1813094333	-0.1521634888	0.0452565156	-0.050761268	0.020519821	-0.0359558591	0.0486043914	-0.120272537	0.1132904714	-0.1116881643	0.0530795867	-0.0873685333	0.185801469	-0.1144765552	0.0587041364	-0.0537194473	0.047531655	-0.0221859321	0.0695065348	-0.0050149013	0.0446244835	-0.0404312281	0.0626014939	-0.1238209578	0.0821628282	-0.017501199	0.0050835731	-0.0776705435	0.0256748686	-0.1149123931	0.0531780234	-0.0223379505	0.0990186379	-0.0672151731	0.1240183993	0.1054052417	0.105393201	0.1053731342	0.1053450429	0.0264056754847246	n/a	n/a	0.0006972596978045	-0.0810697504949757	n/a	n/a	0.0065723044453176	-0.1159988221016874	n/a	n/a	0.0134557267289789	-0.0031780188203695	n/a	n/a	1.009980362262275e-05	-0.0023649959277436	n/a	n/a	5.593205738243812e-06	-7.758001771148186e-06	n/a	6.018659148113838e-11	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4396.069526434932	0.0114651802887237	19325427.28124985	0.0001314503590529	5295.4085233384285	0.127867767776479	28041351.429045275	0.0163501660361395	4654.984511289492	0.0432123540522297	0.0018673075427352	21668880.80034507	4699.028514849302	3661.970525699317	0.02181	0.444527	0.0216882389634529	0.0136520524635014	-0.026495893	-0.0067218603	0.0960693028	0.0668053152	-0.0421830428	0.0306275891	0.0137516042	0.1317169449	0.0107226901	0.0729699875	0.1252555857	-0.0587848686	0.1565974982	-0.0127423104	0.0499418718	-0.0100865643	0.0556377495	0.0698173223	-0.1629759501	0.058909946	-0.0724578924	0.0732837639	-0.1909556368	0.0345330077	-0.1246651351	0.0831054606	-0.0258176679	-0.0019306774	0.1126634624	-0.1894813284	0.0318861402	-0.0535465359	0.0177885678	-0.0627545703	-0.0566098926	-0.0487427304	0.0676761537	-0.1384123197	0.0057037809	-0.1215861188	0.0628800098	-0.0264542325	0.102658209	-0.0211737111	-0.0093714837	0.1804616432	-0.1531630854	0.0448960452	-0.0505209032	0.0203986297	-0.0348597653	0.0480580965	-0.1194985249	0.1137937011	-0.1114723715	0.0524809138	-0.0874969563	0.1858378507	-0.1149804741	0.0591938739	-0.0548270411	0.0474950283	-0.021879294	0.0693943266	-0.0052032591	0.0443723984	-0.0412734171	0.0619519159	-0.1233366069	0.082102172	-0.0171751994	0.0058800019	-0.0767283805	0.0250790247	-0.1128033214	0.0546646765	-0.0225229186	0.1004594042	-0.067562335	0.1248242921	0.1053731342	0.1052647956	0.1050843138	0.1048318124	0.0237359078109875	-0.0026697676737371	7.127659431731611e-06	0.0005633933196116	-0.0823007127762309	-0.0012309622812552	1.5152681378730104e-06	0.0067734073234756	-0.1157967142200036	0.0002021078816838	4.084759583871384e-08	0.0134088790241491	-0.0033090187605183	-0.0001309999401488	1.7160984318989205e-08	1.0949605157462068e-05	-0.0021449969260574	0.0002199990016862	4.8399560742924646e-08	4.601011812795696e-06	-7.048921070611225e-06	7.090807005369609e-07	4.9687288259706895e-11	5.027954398739872e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4401.2251991929	5.155672757967295	19370783.25401058	26.580961587246097	5326.6757794808655	31.267256142436963	28373474.85970809	977.641306676762	4659.8586323832415	4.874121093749636	23.75705643653515	21714282.473796614	4702.814205922411	3745.148350995964	1.015239	20.69252	0.0546747561403726	0.0285700406199723	-0.0137446505	0.132453399	0.0064590959	0.0569701062	0.0246987176	-0.0716088911	0.1098266608	-0.0054871139	-0.0018022949	-0.1153276456	0.0591870187	-0.0060022696	0.0751488078	0.0820935572	0.0508254698	0.0048607062	-0.0648455694	0.1419253492	-0.0952989594	0.1009083407	-0.0599806598	0.0662307285	0.0045078374	0.0376382824	-0.0741322145	-0.0154378647	0.1047995159	0.0522914158	-0.0952604822	0.0548724176	0.056450278	0.0547465239	-0.0826284835	0.1279226824	0.0396158046	0.0884449054	-0.0627390227	-0.049070786	0.1205038171	-0.0723647073	0.0290015523	0.0032576808	0.0249873123	-0.1126463437	0.007594913	0.124544383	-0.1060307234	-0.0428085594	0.0015194029	0.0621242052	0.0058667453	0.0789217668	0.085507085	-0.0448222357	-0.0455920148	-0.0513010398	-0.0866871529	0.1126211414	-0.1204230698	0.0366764115	-0.0421259136	0.0022941217	0.1366335868	-0.0014070096	0.0088705741	0.0456409962	0.0333398475	-0.0922967401	0.0810365923	0.0244532495	0.057989912	0.0419703387	-0.086101678	-0.1087710882	-0.0922452854	0.073952462	-0.0257046647	0.0320228306	-0.0471280383	0.1690477258	0.1053089291	0.1050081413	0.1045074645	0.1038078519	0.0295540378227485	0.005818130011761	3.385063683375405e-05	0.0008734411516284	-0.0701338595426364	0.0121668532335944	0.0001480323176078	0.0049187582543462	-0.0898146232083689	0.0259820910116346	0.0006750690533368	0.0080666665420612	-0.0034289276867436	-0.0001199089262252	1.4378150588504378e-08	1.1757545080916815e-05	-0.0021351405555769	9.856370480500372e-06	9.714803904887912e-11	4.558825192069232e-06	7.733941989123794e-05	8.438834096184916e-05	5.9813858691132104e-09	7.121392090293309e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4386.866796842116	-14.358402350783765	19244600.293235805	206.1637180669927	5282.386014634284	-44.28976484658142	27903602.00760388	1961.5832701654792	4654.612030498798	-5.246601884443408	27.526831333845116	21665413.154464144	4695.924546461839	3648.2828150063183	1.146647	23.370865	0.1420282284994935	0.0921867201426611	-0.082816797	-0.0373338272	-0.060030436	0.1239533359	-0.0458128599	0.0131474614	-0.0310444731	-0.0220183937	0.0910188021	0.0670232558	0.1013607754	0.0404292184	0.0242638114	-0.0491232335	0.0117973461	-0.0649453302	-0.0719878989	0.0982339223	0.0083049108	0.0230549228	-0.0209151222	0.0711418676	0.0647853826	0.0269049477	0.032019207	-0.0616593654	0.0591801802	0.0799361088	0.0940404348	-0.0239235604	0.0986863954	-0.0594175133	0.2129336458	-0.1050378057	0.0455982033	-0.0833070493	0.0727753756	-0.071391879	0.0191228287	-0.0241053737	0.0778109144	-0.0157609394	-0.042535083	-0.1135518864	-0.0314857422	-0.033944896	-0.0047408869	-0.086550336	-0.0513518627	0.0203817109	-0.0526237984	0.0831785019	0.1457433095	-0.1147400536	-0.0441643205	0.0633786145	-0.0889385572	0.1120390478	0.0567214793	-0.0760340842	-0.0657456427	0.0049843155	-0.0367557355	-0.0356188587	0.025749256	0.0713151733	-0.0585898597	0.0802441258	0.0211524409	0.0169265829	0.11235544	0.0360467349	-0.0262980405	-0.1405769577	-0.0973502131	0.0374165802	-0.0012106739	0.0855538335	-0.0477960091	0.0593636774	0.1052126458	0.1046235507	0.1036441676	0.10227815	0.028043599672813	-0.0015104381499355	2.281423404780578e-06	0.0007864434826089	-0.0501127346114458	0.0200211249311905	0.0004008454435103	0.0025112861702371	-0.0079984507051946	0.0818161725031743	0.0066938860830691	6.397521368342799e-05	-0.003119641109729	0.0003092865770145	9.565818672140807e-08	9.732160653511186e-06	-0.0023659926076955	-0.0002308520521186	5.329266996736898e-08	5.597921019669753e-06	0.0003108106490619	0.0002334712291706	9.660325957027956e-08	5.4508814850459807e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4385.113108095876	-1.7536887462401864	19229216.97079427	3.075424218689477	5283.821465975996	1.435451341711996	27918769.284308724	2.06052055442277	4651.964864139766	-2.6471663590318717	7.007489732390054	21640777.097190917	4699.073906837897	3683.364114014754	1.163176	23.70776	0.1288041646822216	0.0549181020825731	0.0027471292	0.0760991042	0.0769730715	0.025251727	0.0481146398	0.0349467841	0.0766237354	0.0184395162	-0.0535656423	-0.1050354281	0.0094190705	-0.0178439575	0.111423694	0.0886501114	0.0118375844	0.0119361043	0.0253110717	-0.0864310385	-0.0549902199	0.0116872385	-0.1261948127	-0.043995249	-0.0425144999	0.0282017907	0.0571906491	0.060019421	0.0337314285	0.078977738	0.015368313	0.0759439045	0.0211039259	0.0686572703	0.0280054594	0.0670280399	-0.0373834873	0.0851862327	-0.0881652084	-0.0312801048	0.0184440369	-0.1077137932	-0.0658287725	-0.0389340464	0.083282692	0.0659812438	0.0195987489	0.023209952	-0.0139986009	-0.0921736049	0.1154192189	-0.0588545399	0.0246784148	0.0858755708	0.0530045333	0.0487256246	0.0037485427	0.0493005745	-0.0769280951	0.1003162402	-0.0048926128	0.0209263856	-0.0406766675	-0.0035892608	0.0396449049	0.0630258184	-0.0646417226	0.0665291075	0.0339710109	-0.1064343082	-0.0490073782	-0.0359357433	-0.0449105515	-0.0005956966	0.0261626252	-0.0210910621	-0.0980114629	0.0417849113	-0.0263884922	0.1291222584	0.0133195679	0.0343932121	0.1050843138	0.1041114925	0.1024967892	0.1002501592	-0.0006236000016599	-0.0286671996744729	0.000821808337176	3.888769620702272e-07	-0.0605111430317748	-0.0103984084203289	0.0001081268976759	0.0036615984310119	-0.0298284302779592	-0.0218299795727646	0.0004765480081473	0.000889735252847	-0.0026829481991426	0.0004366929105863	1.907006981564215e-07	7.198211039282521e-06	-0.0016885892021429	0.0006774034055526	4.588753738542606e-07	2.851333493593596e-06	6.673542490779672e-05	-0.0002440752241541	4.453616937624175e-09	5.9572715045875766e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4393.431112133473	8.318004037597348	19302236.937062368	69.18919116948578	5266.630332172781	-17.191133803215052	27737395.055762377	295.53508144004326	4646.4083909254805	-5.556473214285688	30.874394581074327	21589110.935262717	4687.861093986792	3707.890163765348	1.134646	23.126251	0.1068704318161233	0.053804187738199	-0.065042998	-0.0046259188	-0.0867298372	0.0419379061	-0.004249744	-0.0410542984	-0.0658926081	-0.0988201271	0.0739410442	0.0208796721	0.0306530786	0.1437812567	0.079713771	0.0210996277	0.0238982327	-0.1446622427	-0.0542272003	0.1128082435	0.0403230475	-0.1321851304	-0.0593215888	0.0104816054	-0.0848069084	0.0130859891	0.1629474223	-0.160658781	-0.1182110606	-0.0304640373	-0.052099262	0.0560934832	0.0554162021	-0.0423736404	-0.0890648899	0.0561971251	0.0858093041	-0.0494182709	0.0269097255	0.0383559921	0.0428371761	-0.096949096	0.1240844055	-0.0433097027	-0.0122080772	-0.1097705104	0.0233204415	-0.0380972722	0.1004170832	-0.1079657163	0.03698241	-0.175237052	-0.1090998646	-0.1341865449	0.0967745541	-0.0168936131	0.0698653356	0.132449951	-0.0940913537	0.0673033595	-0.0696690515	0.0426332438	0.0111742883	0.0758685861	-0.0023297297	-0.0831245146	0.0701950207	-0.0281599671	0.1256765195	0.1021031888	-0.0359040106	0.0763426678	0.0121133977	0.0820082304	0.0512371406	0.0178218824	-0.1550430461	0.0557016665	0.1162889527	0.0885788916	0.0302042608	0.0168558025	0.104923972	0.1034725904	0.1010684743	0.0977337597	0.034441502932367	0.0350651029340269	0.0012295614437739	0.0011862171242402	-0.0602717687121412	0.0002393743196336	5.730006490005121e-08	0.0036326861036898	-0.0423353016860019	-0.0125068714080427	0.0001564218324173	0.0017922777688447	-0.0031188239456152	-0.0004358757464725	1.899876663630462e-07	9.727062803742763e-06	-0.0016907641906569	-2.1749885140000084e-06	4.730575036031965e-12	2.858683548407682e-06	0.0008098663530096	0.0007431309281018	6.5588350973707e-07	5.522435763014475e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4394.961267602894	1.530155469420606	19315684.543729637	2.341375760597795	5234.132287066916	-32.49804510586455	27396140.798516348	1056.122935702807	4651.424951708448	5.016560782967645	25.16588208920895	21635754.081375934	4709.930323572064	3479.902088790736	2.365931	48.222206	0.6767647583250741	0.3554467094055681	0.3231631416	-0.1914565217	-0.0172171893	0.1516765908	0.1006234972	0.0300259881	-0.0190861488	0.2096046954	-0.0795336717	-0.0434636342	-0.0220645986	-0.2152942718	0.1367367295	-0.0226745677	-0.0599410018	-0.0460123003	-0.0432930382	-0.0834823769	0.021709772	-0.0906671573	0.0860499285	-0.0897953912	0.0166845422	-0.1220836322	0.0819879229	0.026274086	0.0103361781	0.2305517003	-0.0744659419	-0.0660729664	0.0280696868	0.071102373	0.003685968	-0.0320301255	-0.197865966	0.0416252174	-0.1342332773	-0.093969488	-0.0159584209	-0.056195092	0.0892344539	0.0224953354	-0.0827170515	0.166870411	0.0332549181	-0.0031552514	0.1054115949	0.0938171858	0.0091469122	-0.0793099078	0.1004340814	0.0063569984	0.0737662041	0.1024450977	0.0905873616	-0.0085200051	0.25606148	0.2261854878	-0.0451234119	0.0881271884	0.0151670405	-0.2674102233	-0.1612315443	0.0008299288	-0.0095135222	-0.0447852511	0.1170030905	-0.1444681529	-0.0227897491	-0.0893428821	0.1168898391	0.2026486048	-0.2587956565	0.0547185372	0.0691312241	0.1234578151	-0.0163954708	-0.3533445848	0.196149993	-0.3013888958	0.1047316694	0.102707623	0.0993631376	0.0947412111	0.0310471654224215	-0.0033943375099455	1.152152713142304e-05	0.0009639264807672	-0.092192870060856	-0.0319211013487148	0.0010189567113149	0.0084995252900578	-0.1819285397176457	-0.1395932380316438	0.0194862721041591	0.0330979935637949	0.0030899727383694	0.0062087966839846	3.854915626305817e-05	9.54793152386609e-06	-0.0005689318235364	0.0011218323671205	1.2585078599191842e-06	3.2368341983245346e-07	-0.0018966262245807	-0.0027064925775903	3.59719103576724e-06	7.325102072551385e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4401.957922844193	6.996655241298868	19377233.55449076	48.95318456559492	5275.7598133916445	41.62752632472802	27833641.60859824	1732.8509479159245	4649.11743646978	-2.307515238668202	5.3246265766859695	21614292.938087337	4685.477882614901	3703.357351012913	2.149821	43.817478	0.4424351557088386	0.2403686310384782	-0.0161387128	-0.0511197619	-0.0647924408	-0.0625506465	-0.0673366067	-0.0062415127	-0.0524574336	-0.0058637678	0.104648759	-0.0448326458	-0.0604680183	-0.0765298947	0.0881822182	0.0135759806	0.0452538701	-0.1433262528	0.0567242357	0.0205371935	-0.0386995262	-0.0505466419	0.0281348781	-0.0815100588	0.0855865669	0.027660735	-0.0336454387	-0.0721850418	-0.1864538811	0.0187236798	-0.0044053627	0.0069709408	0.021586927	-0.0150240694	-0.0362362503	-0.0025826195	0.0524412422	-0.0639017964	-0.0874431128	0.0029581368	0.0123673118	0.0024089297	0.2067437689	-0.0370496934	0.1268903227	0.0509402621	0.1115124615	0.052688495	0.0102725037	0.0111289709	-0.0474968215	0.0694908028	0.0419539017	-0.1693128468	0.0253795863	-0.0679472736	0.1232200491	0.0231302877	0.0546268058	0.066839302	-0.0825536073	0.0568104727	-0.0409012832	0.1570803101	0.000337548	-0.0672381313	0.007961296	0.0966129835	0.014117972	0.046127961	0.0468098105	-0.0336337968	0.0614894346	-0.0764521798	-0.0125527175	-0.0859981966	0.0464501926	0.0310024827	-0.0388411259	-0.0951903941	0.026348651	0.0296472181	0.1045074645	0.1018175221	0.0973854535	0.0912870929	0.0329011406940793	0.0018539752716578	3.4372243079186306e-06	0.0010824850589716	-0.0740265975386762	0.0181662725221797	0.0003300134573501	0.0054799371431531	-0.0832824104068947	0.098646129310751	0.0097310588279934	0.0069359598831824	-0.0012707767083253	-0.0043607494466947	1.901613573684813e-05	1.6148734424220848e-06	-0.0012342165832401	-0.0006652847597037	4.426038114940099e-07	1.523290574344867e-06	-0.0004472848588941	0.0014493413656866	2.0006374499591493e-07	2.100590394290299e-06	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4389.610692002902	-12.347230841290184	19268682.0273462	152.45410944810752	5271.0504893427305	-4.709324048913913	27783973.26120024	22.17773299767893	4646.572175480769	-2.545260989010785	6.47835350218016	21590632.98195209	4692.23257334017	3650.5769720486032	1.097296	22.364994	0.1000679343918851	0.0541166147654153	0.0316001986	0.0193017056	0.084662127	0.0108825511	0.0275394051	0.0310169222	0.0474477221	-0.0287544166	-0.086484637	0.0535987574	0.0142536588	-0.0698754148	-0.0539663375	0.0561887393	0.0077892539	0.0058157051	0.0225480942	0.0054566046	-0.041804423	-0.0149877288	0.0401240415	-0.1412933904	-0.0165187894	0.0051520715	0.0077979752	-0.1417419533	-0.0452681622	0.0676441539	-0.0196547751	0.0358678699	0.0762423246	0.0846506933	-0.0655379251	0.0221404065	-0.0580856268	0.0397256369	0.0602669054	-0.0283424314	0.0238848436	0.0884474951	-0.0217143405	-0.0113490431	0.0966452867	0.0165210584	0.098385672	0.1001114675	0.070763658	0.0626522689	0.0357643662	0.0038224475	0.0297843015	-0.0718468921	0.0349977587	-0.0800927727	0.1148158075	0.0542871835	0.0341829823	0.0231838647	-0.0701482544	0.0065216357	-0.0498292631	0.0327288191	0.0539991121	0.0667741029	-0.0045290343	0.0162865836	-0.0943547044	0.0334094405	-0.0363129895	-0.0487556944	-0.0352141877	0.0714883515	-0.1579546094	-0.0219703113	0.0312459549	0.0716928233	0.0177550768	-0.0668998448	0.0052071402	-0.0555022099	0.1042514257	0.1008033722	0.0951408427	0.0873882332	0.0326885405038552	-0.0002126001902241	4.5198840883323785e-08	0.0010685406802721	-0.0395766655271216	0.0344499320115546	0.0011867978156007	0.0015663124542456	-0.053302199960747	0.0299802104461477	0.0008988130183953	0.0028411245206554	-0.0011720089884157	9.876771990960008e-05	9.755062496141211e-09	1.3736050689271924e-06	-0.0014089934819392	-0.000174776898699	3.0546964318875443e-08	1.9852626321471502e-06	-1.2325642623626069e-05	0.0004349592162704	1.5192146608534768e-10	1.891895198186249e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4381.03610455932	-8.574587443582459	19193477.3494523	73.52354982764197	5252.276236271513	-18.77425307121757	27586405.66210245	352.47257838212244	4645.518831559066	-1.053343921703345	1.1095334173893818	21580845.214369908	4682.796159316864	3669.822179571741	1.094799	22.314098	0.034241185289838	0.0171490349959486	0.0400363124	0.0122291273	-0.1235193629	0.0592633355	0.0849770058	-0.1271706387	-0.0191615863	-0.0575917385	0.0359551333	-0.0626794945	-0.0902504094	0.0252481607	-0.0149737351	0.0490775152	-0.0156870234	-0.0815674866	-0.0338486146	0.0132997548	-0.0666090681	0.0912875126	0.0052226428	-0.024833662	-0.030787092	0.096750539	0.1039617506	-0.0194515883	0.0829033587	0.0775684144	-0.0420603001	0.0867834344	-0.1549550349	0.0629451316	0.0206713993	0.052084602	0.0649793209	0.0287638332	-0.0633928831	0.1134633041	0.0727477103	0.0163775811	0.0954488599	-0.0030994854	-0.0021444247	-0.0004207307	0.0067999168	0.0752177421	-0.0533852319	0.036803581	0.029361239	0.0029298091	0.0023822912	0.0955683403	0.0542675264	-0.0141630657	0.0314927588	0.1246990766	0.0297385255	0.0965830278	0.0400188197	-0.0136777785	-0.1028369836	0.0612178824	0.0724479743	-0.0808432036	0.0257557918	0.0458587857	0.0319086555	-0.0559318372	0.1352587776	-0.0529877977	0.0780394966	-0.0592034833	-0.0348620902	-0.0570361843	0.0541401354	-0.003081948	-0.0027460839	-0.0681764716	-0.0002464236	-0.0185736435	0.1039636308	0.099666409	0.0926354574	0.0830636267	0.0276339145799937	-0.0050546259238615	2.5549243230172737e-05	0.0007636332350143	-0.0360809885596467	0.0034956769674749	1.2219757460934529e-05	0.0013018377354413	-0.0665331882945849	-0.0132309883338379	0.0001750590522901	0.0044266651446426	-0.0011726353719891	-6.263835733999207e-07	3.923563810252539e-13	1.3750737156400147e-06	-0.0013488876370439	6.010584489529996e-05	3.612712590577856e-09	1.8194978573698765e-06	-0.0002007912954482	-0.0001884656528245	4.031714432776634e-08	3.551930229459283e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
