global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09
869.3910049963258	n/a	755840.7195685215	n/a	856.1633300552825	n/a	n/a	733015.6477313505	815.6922240631031	n/a	665353.8043970116	n/a	813.1529908512342	715.1704241672268	n/a	n/a	n/a	n/a	-0.0452288681	-0.020992726	0.1848004411	-0.0038150004	0.0110563933	-0.1643608879	-0.1035404802	0.1615349152	-0.3055539225	0.192573343	-0.5201133118	0.2015321294	-0.0028221101	-0.0393692029	0.0121420021	-0.0195072534	0.0982683783	-0.1246583815	0.2813288165	-0.0329191375	0.2943105769	-0.2303477864	0.2929432009	-0.1655822726	0.0931657855	-0.1243416828	0.0070583485	-0.1642208756	0.0835393179	-0.111088134	0.1771062143	0.089333437	-0.0138265941	-0.025778683	0.0064630296	-0.1303351824	0.0868331179	-0.0899184968	0.3232525703	-0.0036016946	0.3415933944	-0.2530684817	0.1730783472	-0.2883196681	0.1014006789	-0.1656814715	0.0891074233	-0.1550410467	0.0501775352	-0.1461265568	-0.0504353299	0.3225670507	-0.0056399894	0.0405622732	-0.4149796939	0.2088218492	-0.1780092295	0.3353439327	-0.1706581793	0.4346981183	0.2602631116	-0.0272287756	0.1640798678	-0.0147481599	0.0576632589	-0.0798584888	0.0430605096	-0.1884927631	0.1029945544	-0.0562444681	0.0583023239	-0.0277865432	0.0400529892	-0.1318980857	0.1561451084	0.1560591586	0.067400806251868	n/a	n/a	0.0045428686834018	0.0442458237857152	n/a	0.0019576929224765	n/a	0.1947463992008948	n/a	0.0379261600017142	n/a	0.0017641824410398	n/a	n/a	3.112339685273147e-06	-0.0005283947282592	n/a	2.7920098885211376e-07	n/a	0.0006869674487163	n/a	n/a	4.719242755957824e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
862.1051414842151	-7.285863512110723	743225.2749735186	53.0838071171064	847.5496041417836	-8.61372591349891	74.19627411288265	718340.331480894	812.3415795550494	-3.3506445080537333	659898.8418739927	11.226818619350643	809.3218853984121	693.5756320407546	2.139149	29.481459	0.3257930180641243	0.1853900217297188	0.1109577468	0.0116815816	-0.0909555364	0.0848135872	0.1068967813	0.0490027298	0.1864723899	-0.0968395554	-0.141531538	0.041229338	0.1137542539	0.2484593956	-0.20814039	0.0701556954	0.0017833663	0.1354564924	-0.0902275524	0.094936265	-0.0292900559	-0.0183742504	0.0385583309	0.085150376	0.1678577267	-0.2254808213	0.1961225847	0.0249814547	0.0286587741	-0.0590179871	-0.1979297991	0.0963582238	0.109777531	0.1770667547	0.2161618892	0.0193249623	-0.0074831599	0.1935173916	0.027277061	-0.0288524927	0.0356243871	-0.0019845811	0.0361886858	-0.2053033496	-0.0802751949	-0.1539073798	-0.1509779961	0.3232550231	-0.0026680688	-0.1174301387	0.0577538745	-0.1023578734	0.1063393096	0.0900719249	0.0219790545	-0.0392193768	0.1410661773	0.09425881	-0.0026865096	0.132883843	-0.0283323281	-0.0177430592	0.1320198845	0.0853209508	-0.1042947865	0.0557171296	0.3193544102	0.1829330099	-0.0470071069	0.2880545492	0.108881898	-0.065603162	0.0396139715	-0.0379597213	-0.1845373703	0.0506028384	0.155915944	0.1551433414	0.066234498517872	-0.001166307733996	1.3602737303789034e-06	0.0043870087939139	-0.0623181902322897	-0.1065640140180048	0.0038835568338278	0.0113558890836295	0.0548996412871645	-0.1398467579137303	0.0030139706134593	0.0195571156989814	0.0021900049204575	0.0004258224794176	1.813247839774375e-07	4.79612155162806e-06	-0.0009819986721799	-0.0004536039439207	9.643213921630868e-07	2.0575653794041361e-07	2.0751040868359754e-06	-0.0006848923446294	4.690775237320446e-07	4.306056971203367e-12	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
856.2115345246334	-5.893606959581689	733098.1918530276	34.73460299402972	830.9970817337493	-16.552522408034292	273.9859980684774	690556.1498500076	810.5516692680304	-1.7899102870189836	656994.0085531906	3.2037788355763803	806.4617166691368	682.1529426574707	1.713846	23.619989	0.0756996304739412	0.0539274834013861	0.1922004507	-0.0188873482	-0.099614391	-0.1345680128	0.030667951	0.2790479897	-0.1458262802	-0.1985111385	-0.0228871814	0.1269304166	0.0801728468	0.2476105777	-0.3789029638	0.0512010543	-0.1225659772	0.0242216985	0.069932806	0.0499011661	-0.1230430794	0.0935999348	0.1559613006	0.0207206397	-0.0570255873	0.0045540859	-0.0644721433	-0.1151846712	0.0140195464	0.0092048744	0.1049745499	0.1670500215	-0.0528147993	-0.2559924469	0.3681654514	-0.0644310374	-0.0546530123	0.0433726276	0.0079656123	-0.0081989797	-0.1150518406	0.0904783963	0.2210919908	0.1394576702	-0.044001187	0.2325067143	-0.0690723976	-0.1260006653	0.1325406899	0.1122184657	0.0486621552	-0.0238661251	0.126859679	0.180095392	-0.1231836503	0.0562983873	-0.007528909	-0.0554446176	0.1497403169	0.0728426001	0.0068730817	0.103820063	0.0361734822	0.0417245394	-0.0430725059	0.0183516153	0.1274725455	0.0546703829	-0.0124799233	0.0179394311	-0.0721929264	0.2281968156	-0.2418332183	0.1135923572	-0.0830371233	0.1163567107	0.1554579513	0.1533170814	0.0519326905972974	-0.0143018079205745	0.000204541709797	0.0026970043526746	-0.0103821803259478	0.0519360099063418	0.0001077896683204	0.0026973491249916	0.0536430141028034	-0.001256627184361	0.0028775729620335	1.5791118804753036e-06	0.0022390049152626	4.899999480509993e-05	2.4009994908998206e-09	5.013143010570081e-06	-0.0008669994593097	0.0001149992128702	7.516880624433121e-07	1.3224818960765586e-08	1.9706025088618226e-06	-1.0450157797415281e-07	1.0920579799087942e-14	3.883274247932509e-12	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
852.948241285733	-3.26329323890036	727520.7023124251	10.6490827630528	832.7078592220466	1.7107774882973672	2.9267596144650483	693402.3788101638	811.9234693441142	1.3718000760837867	659219.7200717828	1.881835448743483	808.1217661994547	664.6058453073183	1.4583	20.098085	0.0768482140588751	0.0454746384248784	0.2967807739	-0.0377942447	-0.0002662668	-0.2125186247	0.0058506886	0.4247806188	-0.1018985148	-0.0720140939	-0.030597573	0.1835449011	0.1367189012	0.0170431707	-0.352581069	0.1633591692	-0.1082049848	-0.1234928194	0.0757683654	0.0359111676	0.011939186	0.0465961421	0.042404532	0.0898930102	0.0071141215	0.2223247261	-0.020625808	-0.0302371365	-0.0909546822	-0.0150383884	-0.1617199685	-0.0478817606	0.1385184135	-0.0492472655	0.3976270196	0.0723317458	-0.122744605	-0.0819187052	-0.0369270866	0.0334300054	-0.0424473961	-0.0208428146	0.0522287236	0.1979544737	-0.0003900924	-0.0634479372	-0.0430014265	0.1658662806	-0.0318405921	0.2177358107	0.0608447465	0.0261670291	0.1419031277	0.1789922147	-0.0292736809	-0.0673088506	0.0063256594	-0.196962222	0.2511121451	-0.0037220194	0.123565875	0.0375503645	-0.0778052718	0.0095158462	-0.1133591109	0.109838678	0.0243239672	-0.0164039437	0.0179201597	-0.1040757548	-0.0641213622	0.1934518408	0.0589568192	0.1312775869	0.0754201978	-0.098446366	0.1547718027	0.1505910958	0.0460827753503423	-0.005849915246955	3.422150839655774e-05	0.0021236221839901	0.0289694314575115	0.0393516117834593	0.0008392279589714	0.001548549349956	0.0715018020978988	0.0178587879950954	0.005112507703247	0.0003189363086537	0.0021730023334393	-6.600258182329994e-05	4.356340807341404e-09	4.721939141132642e-06	-0.0006579994137889	0.0002090000455208	4.3296322854653604e-07	4.3681019027696484e-08	1.2152491856540389e-06	-7.553533232077837e-07	5.705586428810426e-13	1.4768305832328046e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
854.4745966315695	1.526355345836464	730126.8362886835	2.329760641763552	835.1714479366462	2.4635887145996094	6.069269354702556	697511.3474485942	812.8308772361194	0.9074078920051534	660694.0349884393	0.8233890824732361	809.6330073316448	659.4517084615977	1.366844	18.837658	0.0620200562389714	0.0456523059560103	0.3203821256	0.0948353416	-0.0508810869	-0.1240427127	-0.0540295425	0.3800534111	0.0949159367	0.0622997375	-0.1045560663	0.0149701861	-0.0270768205	-0.1577773105	-0.266112751	0.1631687325	0.038756576	-0.0623312243	-0.0151551861	-0.0895474673	-0.1275289588	-0.0014487018	-0.0273133805	0.0111611502	0.0407136631	0.1614477385	0.0276631143	0.0697045609	-0.1170055933	-0.0451889094	-0.094327044	-0.0919193	-0.0210651077	0.0290887042	0.287857782	0.1491860451	0.0085981272	0.0053680001	-0.0577036181	0.1356473712	-0.0672107832	0.0678155856	-0.0807235809	0.0165288416	0.1096452456	-0.1029076714	-0.0262133816	-0.1074655655	-0.1640943254	0.0626429812	-0.0178802876	0.0003619105	0.1460758139	0.1558045718	-0.1275887536	-0.1378140672	0.0676108749	-0.1577016998	0.1012666166	0.034837992	0.1126853312	-0.046849557	-0.080189535	0.048729044	-0.0639835949	0.0914056338	-0.0527138699	-0.1289490545	-0.0428989588	-0.0454948087	-0.0744197337	0.1159015492	0.0173838734	-0.0277207355	0.1094086573	-0.1821933058	0.1538585052	0.1469813818	0.0460862114065037	3.436056161397472e-06	1.1806481944277528e-11	0.0021239388818049	-0.0145141419760079	-0.0434835734335194	0.0002106603172997	0.0018908211585482	0.0676734223894044	-0.0038283797084944	0.0045796920978947	1.4656491192411736e-05	0.0018790066180209	-0.0002939957154183	8.643348068437677e-08	3.53066587056634e-06	-0.0006579991889681	2.248207999974716e-10	4.329629326826774e-07	5.0544392111503135e-20	1.117848608929461e-06	-9.740057672457793e-08	9.486872346280387e-15	1.249585512485531e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
858.1408917060197	3.666295074450204	736405.7900180026	13.441719572937828	837.6319179192275	2.4604699825812304	6.05391253518328	701627.2299170435	813.4039094974762	0.5730322613568433	661625.9199857785	0.3283659725557375	810.3131576400324	672.7338944269857	1.315467	18.129587	0.0506025099073803	0.0353663310412988	0.2490427376	0.191409233	-0.0732266541	-0.0749240778	-0.1313311309	0.305693537	0.0838968568	0.0703842984	0.1563575042	-0.1146337309	-0.0458417202	-0.0192328371	-0.142967753	0.0619319034	0.1136143961	0.0818925718	0.0165545019	-0.0348586445	0.0293152094	-0.0054453396	-0.0559294663	-0.0253825904	-0.1162042016	0.1181409279	-0.0166611802	-0.0887759869	0.1469662748	-0.095733075	0.2049566069	0.0612652414	0.0616328062	-0.0236236021	0.1597334535	0.0734271581	0.1156459774	0.0220855534	0.0740112832	-0.0029006971	-0.0373999009	-0.0492047164	-0.1381687794	0.1454791846	0.0734151046	-0.0332430024	0.1181121269	0.0022842688	0.0357920783	-0.113488054	-0.1499236369	0.0566347833	0.1373600707	0.0733574929	-0.173183784	-0.138452524	0.0684283221	-0.0785871256	0.0378838414	-0.0063461187	0.0814329617	-0.0588142735	-0.1376419476	0.0227639568	-0.1355795615	0.0605544471	0.0090754885	-0.0828206764	-0.0179375092	-0.0962567575	-0.1276653226	-0.1086408834	0.0762065921	-0.0460320684	0.0397906651	0.0249886675	0.152719399	0.1425091225	0.0460904129128323	4.201506328599392e-06	1.765265542926074e-11	0.0021243261624753	-0.0087018601967372	0.0058122817792707	7.572237088355918e-05	3.378261948164218e-05	0.041043180376846	-0.0266302420125583	0.0016845426554463	0.0007091697896474	0.0022420023595566	0.0003629957415357	1.317659083730528e-07	5.0265745802573625e-06	-0.0006579991174198	7.154829994530236e-11	4.329628385252358e-07	5.119159225062956e-21	1.237727709382623e-06	1.198791004531621e-07	1.437099872545933e-14	1.531969882573555e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
860.8585802527687	2.7176885467489456	741077.4951948125	7.385831037130395	840.5569119139345	2.924993994707052	8.555589869072316	706535.9221662899	812.5984496345429	-0.8054598629332759	660316.2403484628	0.6487655907964915	809.6576515519199	674.5743312274708	1.198113	16.51223	0.0624807509160322	0.0392824796476804	0.1790118567	0.0905904757	-0.0893499654	-0.0245719612	-0.0872398744	0.1545302271	0.0538559126	0.0562476784	0.1367463893	-0.0628505726	-0.0185510553	-0.0831257868	-0.133584637	-0.1075687281	0.0427424782	0.2670734145	-0.0443288848	0.0930901133	0.027180265	0.0961063301	-0.0988452557	0.0126958909	-0.1372080534	-0.0468206529	-0.0518612567	-0.0129265049	0.0293892786	0.0252907256	0.0034168055	0.1815992523	-0.0272204271	0.0023131482	0.106946773	-0.1002327353	0.1273211005	0.1439908699	0.1711570453	-0.1319883687	-0.0154537279	0.0377119831	-0.133794455	0.0455328876	0.0411912841	0.0691002835	-0.0471749409	0.148509305	-0.017118813	-0.1949565797	-0.0404194227	0.0914409008	0.0955896761	0.0546713583	-0.08212732	-0.0791911599	0.1811685963	-0.1018822368	0.0867925227	0.0757301151	0.0179465628	0.0235405882	-0.0697713307	-0.0157263952	-0.0302593263	0.017621358	-0.0106059004	-0.0843854352	0.0389138251	-0.1135756745	0.0580450557	-0.2035730786	-0.0858951873	-0.1216620108	-0.004376273	0.1417259049	0.1513561561	0.1372005631	0.0355402086381388	-0.0105502042746934	0.0001113068102377	0.0012631064300424	0.0280405479501837	0.0367424081469209	0.0007862723293465	0.0013500045564349	0.0383912300308963	-0.0026519503459496	0.0014738865432851	7.032840637382732e-06	0.0023220026102517	8.000025069509987e-05	6.4000401112788275e-09	5.391696122015708e-06	-0.0008279990269575	-0.0001699999095376	6.855823886425668e-07	2.8899969242826162e-08	1.9613304459459736e-06	7.236027365633505e-07	5.236009203619698e-13	3.846817118194632e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
865.8698696584303	5.011289405661614	749730.631182307	25.11302150729633	840.1482604934783	-0.4086514204561808	0.1669959834408543	705849.0996102175	816.0344987810366	3.4360491464937013	665912.3032008177	11.806433737120091	811.487137286907	671.2576140144481	1.371449	18.901115	0.1468899240916233	0.0715270101313371	0.0755178356	-0.061900611	0.0399098257	0.0038470639	-0.137862256	0.0372324936	-0.0601282992	0.1588983578	0.1252593126	-0.1751883338	0.0683842942	-0.2142980311	0.070973571	-0.0437451285	0.1346294434	0.0370156479	0.0251917309	-0.0603314003	0.0931642698	0.1483601578	-0.3030656731	0.161661746	-0.0951934906	0.1360259249	-0.0857748065	0.1624239544	0.1182539508	-0.0112946596	-0.0798803347	0.1137483161	-0.1458716866	-0.1282308868	-0.0774719752	0.0053677076	0.1385545716	-0.0491099732	0.0281390598	-0.015768903	0.0499649657	0.0823000021	-0.3968077219	0.2496187287	-0.0404694253	0.1427051831	-0.1091997819	-0.0033134667	-0.0004755059	0.0231793286	-0.1179352925	-0.0359294594	0.0165511863	0.0215762416	0.0512317535	-0.06055847	0.0729708496	-0.1733894798	0.0166758189	-0.1317596103	0.0185212272	-0.1155954955	0.0594391437	-0.0133305539	0.0806676723	0.0446394082	-0.0322688585	0.1518827339	-0.0106306817	-0.0615487629	0.0840317636	-0.2026485274	0.1099283845	-0.2111696765	0.1619000237	-0.0067974716	0.1497707771	0.1310868562	0.0260173454704499	-0.0095228631676889	9.068492291052594e-05	0.0006769022653287	-0.0137148349951701	-0.0417553829453538	0.0001880966989447	0.0017435120049131	0.0220706899527272	-0.016320540078169	0.0004871153549894	0.0002663600284431	0.0013630022677461	-0.0009590003425056	9.196816569258582e-07	1.857775181881011e-06	-0.0002029998262267	0.0006249992007308	4.12089294480704e-08	3.906240009141389e-07	1.381156741163403e-07	-1.8232147718296333e-06	3.324112104217782e-12	1.9075939436611112e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
869.1080362250382	3.2381665666079016	755348.7786309422	10.485722713097203	852.8149957028692	12.666735209390822	160.44618086482114	727293.4168956848	816.0413439245518	0.0068451435151928	665923.4749941886	4.685598974358646e-05	813.0297026695717	689.6754463875047	1.261426	17.384802	0.1039220246194911	0.0461281523168973	-0.040535233	-0.0919314851	0.1256884654	-0.0835574722	-0.015069567	-0.1024028318	-0.1217118745	0.1171848522	0.1584650532	-0.170712022	0.195937707	-0.0949941942	0.0748444888	-0.01235894	0.0159580468	-0.0155329291	0.1248438837	-0.1176575631	0.1521663148	-0.0022948622	-0.025901387	0.1098179173	-0.1094448086	0.0843754691	-0.07145921	0.0298507619	0.1559850408	-0.0170940037	-0.1058059228	-0.1264679895	-0.2919821059	0.0846392801	-0.0820476342	0.0117101655	0.0454075083	-0.1452008837	0.0883298638	-0.0105572923	0.1315455553	-0.0668722456	-0.1183808334	0.1972234694	0.0687239366	-0.0385450469	-0.0498484359	-0.0536321397	-0.1232354954	-0.077452738	-0.0101872202	0.1916754812	0.0106980929	0.055451162	0.0271321567	0.0281882862	-0.1355471934	-0.0698260837	0.0721016356	-0.1373318628	-0.0866174451	-0.1110128295	0.1196078207	0.0504104241	0.0832493875	-0.1156171967	-0.1629667231	0.1274788384	0.0953482818	0.1645188557	0.0708499157	-0.0578780867	-0.0730176584	-0.1937725776	0.0064669395	0.1257726769	0.1479655889	0.1242038795	0.0431629021756805	0.0171455567052306	0.0002939701147322	0.0018630361242273	0.0178849596536849	0.031599794648855	0.0003198717818139	0.0009985470218498	0.0379405569302235	0.0158698669774963	0.0014394858601755	0.0002518526778834	0.0015480728917687	0.0001850706240226	3.4251135876114626e-08	2.396529678229105e-06	-0.0005332907927202	-0.0003302909664935	2.843990696001393e-07	1.0909212254721035e-07	0.0002709126509162	0.000270774535242	7.331884893556642e-08	7.339366442644284e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
866.5549551564313	-2.5530810686068435	750917.4903061647	6.518222942878662	850.8526999993238	-1.962295703545351	3.850604428152544	723950.3170961393	816.4776074189755	0.4362634944236561	666635.6834166147	0.1903258365667394	813.1374174267285	680.7708286715995	1.187786	16.369907	0.0641077523320756	0.0311499368779702	-0.0393500834	-0.1385845506	-0.0768570712	-0.0798397439	0.0587615355	-0.0587506253	-0.065322166	-0.128606369	-0.0187162286	-0.134596939	0.0010558043	-0.0476274837	0.0411397524	-0.0402771134	-0.1058703572	-0.1233159753	-0.0917807421	-0.1231044215	-0.0401115783	-0.1373102797	0.0499912624	0.0057864691	0.0410641984	0.150086624	-0.087477006	0.0801384726	0.104485	-0.1574849378	-0.1910157001	-0.1734949421	-0.1570573021	-0.0337520255	-0.0466616871	-0.0791656571	-0.122538143	-0.0293129956	-0.1173966371	0.1881007434	0.0044805667	-0.1124895283	-0.062626745	0.0488072995	0.1140865167	-0.1685024106	-0.0139198529	-0.1158821265	-0.2207055068	-0.0465028698	0.0049414709	-0.071108615	0.0160255762	0.0479620585	0.0331232779	0.0973758782	0.0718094515	0.0137128956	0.073102208	-0.1507237499	-0.0338865472	-0.0900403034	0.058954649	0.1211255757	0.1340654212	-0.1185485193	-0.0935957305	0.1545104257	0.0450499933	0.0160788373	0.0329405822	-0.0240985612	0.1280949944	-0.0343133036	-0.0176781434	-0.0359902916	0.1459432408	0.1165920251	0.0260172734564889	-0.0171456287191916	0.0002939725841763	0.0006768985181097	0.0253371674666595	0.0074522078129746	0.0006419720552335	5.5535401287759664e-05	0.0381436664422238	0.0002031095120002	0.0014549392896556	4.125347386499849e-08	0.0013630022677461	-0.0001850706240226	3.4251135876114626e-08	1.857775181881011e-06	-0.0002029998262267	0.0003302909664935	4.12089294480704e-08	1.0909212254721035e-07	1.381156741163403e-07	-0.000270774535242	7.331884893556642e-08	1.9075939436611112e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
